Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","14/03/2023 01:27 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=Y0gv5U
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,2021
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2021,Afghanistan,AFG,Albania,ALB,5,0,-
2021,Afghanistan,AFG,Egypt,EGY,43,49,-
2021,Afghanistan,AFG,Argentina,ARG,12,0,-
2021,Afghanistan,AFG,Armenia,ARM,5,0,-
2021,Afghanistan,AFG,Australia,AUS,9648,2670,-
2021,Afghanistan,AFG,Austria,AUT,42685,5600,-
2021,Afghanistan,AFG,Azerbaijan,AZE,1189,26,-
2021,Afghanistan,AFG,Belgium,BEL,5859,7375,-
2021,Afghanistan,AFG,Bangladesh,BGD,0,5,-
2021,Afghanistan,AFG,Belarus,BLR,127,14,-
2021,Afghanistan,AFG,Brazil,BRA,149,167,-
2021,Afghanistan,AFG,"Bosnia and Herzegovina",BIH,0,25,-
2021,Afghanistan,AFG,Bulgaria,BGR,300,4545,-
2021,Afghanistan,AFG,Canada,CAN,2263,399,-
2021,Afghanistan,AFG,China,CHN,30,22,-
2021,Afghanistan,AFG,Chile,CHL,13,87,-
2021,Afghanistan,AFG,Colombia,COL,9,0,-
2021,Afghanistan,AFG,Cuba,CUB,17,0,-
2021,Afghanistan,AFG,Cyprus,CYP,17,143,-
2021,Afghanistan,AFG,Czechia,CZE,150,36,-
2021,Afghanistan,AFG,Denmark,DNK,1696,540,-
2021,Afghanistan,AFG,"Dominican Rep.",DOM,0,8,-
2021,Afghanistan,AFG,Ecuador,ECU,147,0,-
2021,Afghanistan,AFG,Estonia,EST,20,5,-
2021,Afghanistan,AFG,Fiji,FJI,8,0,-
2021,Afghanistan,AFG,Finland,FIN,3652,526,-
2021,Afghanistan,AFG,France,FRA,49990,9494,-
2021,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,9642,4943,-
2021,Afghanistan,AFG,Georgia,GEO,20,49,-
2021,Afghanistan,AFG,Germany,DEU,159409,43964,-
2021,Afghanistan,AFG,Greece,GRC,28543,9142,-
2021,Afghanistan,AFG,"China, Hong Kong SAR",HKG,11,0,-
2021,Afghanistan,AFG,Croatia,HRV,93,397,-
2021,Afghanistan,AFG,Hungary,HUN,1467,0,-
2021,Afghanistan,AFG,Iceland,ISL,179,18,-
2021,Afghanistan,AFG,India,IND,9678,6569,-
2021,Afghanistan,AFG,Indonesia,IDN,5828,1610,-
2021,Afghanistan,AFG,Ireland,IRL,549,170,-
2021,Afghanistan,AFG,"Iran (Islamic Rep. of)",IRN,778054,0,-
2021,Afghanistan,AFG,Iraq,IRQ,11,96,-
2021,Afghanistan,AFG,Italy,ITA,15561,2375,-
2021,Afghanistan,AFG,Jordan,JOR,8,10,-
2021,Afghanistan,AFG,Japan,JPN,84,0,-
2021,Afghanistan,AFG,Kazakhstan,KAZ,327,287,-
2021,Afghanistan,AFG,Kenya,KEN,12,5,-
2021,Afghanistan,AFG,Kyrgyzstan,KGZ,213,309,-
2021,Afghanistan,AFG,"Rep. of Korea",KOR,46,59,-
2021,Afghanistan,AFG,Kuwait,KWT,0,17,-
2021,Afghanistan,AFG,Libya,LBY,0,5,-
2021,Afghanistan,AFG,Lebanon,LBN,24,11,-
2021,Afghanistan,AFG,Liechtenstein,LIE,5,0,-
2021,Afghanistan,AFG,"Sri Lanka",LKA,113,27,-
